ID;Nome;Extremidade 1;Extremidade 2;Comprimento
&101A;BR101;#1;#1A;7.8
&101B;BR101;#1;#3;7.8
&101C;BR101;#1A;#4A;5.1
&226A;BR226;#1A;#5;16.8
&101D;BR101;#1B;#4B;5.1
&307A;RN307;#1B;#7;4.4
&101E;BR101;#1B;#16;69.1
&Dutra;Av. Pres. Dutra;#2;#2A;4.2
&110A;BR110;#2;#2B;4.1
&Maran;Av. Alberto Maranhao;#2;#2C;4.0
&Camar;R. Felipe Camarao;#2;#2D;4.1
&110B;BR110.RN016;#2;#42;87.2
&304A;BR304;#2A;#2B;1.2
&304B;BR304;#2A;#9A;58.4
&304C;BR304;#2B;#2C;3.7
&110C;BR110;#2B;#73;77.7
&304D;BR304;#2C;#2D;3.2
&117A;RN117;#2C;#28;69.0
&405A;BR405;#2D;#2E;13.5
&405B;BR405;#2E;#13;60.6
&226B;BR226;#3;#5;10.1
&101F;BR101;#3;#10;21.2
&160A;RN160;#4;#4A;7.6
&160B;RN160;#4;#5;10.8
&101G;BR101;#4A;#4B;2.1
&406A;BR406;#4B;#6;20.5
&226C;BR226;#5;#5A;15.1
&160C;RN160;#5;#95;52.4
&226D;BR226;#5A;#63;34.6
&304E;BR304;#5A;#117;22.6
&406B;BR406;#6;#15;48.0
&288A;RN288;#8;#8A;6.9
&118A;RN118;#8;#8B;4.1
&288B;RN288;#8;#8C;4.2
&427A;BR427;#8A;#8B;6.1
&288C;RN288;#8A;#61;51.6
&427B;BR427;#8B;#8C;5.8
&118B;RN118;#8B;#29;49.8
&288D;RN288.PB293;#8C;#54;79.6
&304F;BR304;#9;#9A;6.0
&304G;BR304;#9;#90;6.7
&233A;RN233;#9A;#143;41.2
&063A;RN063;#10;#17;3.3
&101H;BR101;#10;#22;22.2
&226E;BR226;#11;#11A;17.5
&226F;BR226;#11;#29;67.2
&427C;BR427;#11;#61;26.0
&226G;BR226;#11A;#12;48.8
&104A;BR104;#11A;#72;74.8
&226H;BR226;#12;#63;43.9
&233B;RN233;#13;#13A;5.8
&405C;BR405;#13A;#18;68.0
&233C;RN233;#13A;#28;32.3
&269A;RN269;#14;#19;38.5
&120A;RN120;#14;#26;19.3
&023A;RN023;#15;#16;53.6
&406C;BR406;#15;#20A;98.8
&120B;RN120;#15;#88;27.9
&226I;BR226;#18;#54;71.7
&101I;BR101;#19;#22;15.7
&406D;BR406;#20;#20A;5.4
&118C;RN118;#20A;#42;28.8
&003A;RN003;#22;#26;32.7
&120C;RN120;#26;#95;6.3
&117B;RN117.RN078;#28;#54;43.3
&233D;RN233;#28;#73;30.8
&226J;BR226;#29;#143;30.9
&118D;RN118;#42;#90;42.8
&226K;BR226;#54;#73;48.1
&120D;RN120;#63;#95;29.6
&304H;BR304;#72;#88;44.2
&304I;BR304;#72;#90;72.0
&226L;BR226;#73;#143;14.4
&304J;BR304;#88;#117;21.5
